,Date,ORCL,SQ,NVDA
363,2017-05-02,42.759243,18.809998999999998,102.382271
364,2017-05-03,42.531841,18.280001000000002,103.14409599999999
365,2017-05-04,43.081387,19.9,102.74834399999999
366,2017-05-05,43.185612,19.780001000000002,102.75824
367,2017-05-08,43.166653000000004,19.559998999999998,101.679794
368,2017-05-09,43.090855,19.799999,101.848007
369,2017-05-10,43.138222,19.950001,120.00334199999999
370,2017-05-11,42.78767,19.709999,125.158073
371,2017-05-12,42.711864,20.08,126.53333300000001
372,2017-05-15,42.939262,20.25,132.885254
373,2017-05-16,42.910831,20.34,135.35870400000002
374,2017-05-17,41.906517,19.559998999999998,126.36514299999999
375,2017-05-18,41.849674,19.68,131.658401
376,2017-05-19,41.982319,19.91,134.69898999999998
377,2017-05-22,42.285503000000006,20.950001,137.571274
378,2017-05-23,42.219189,21.639999,135.719162
379,2017-05-24,42.475006,21.92,137.244415
380,2017-05-25,42.825565000000005,22.33,136.937393
381,2017-05-26,42.882412,22.33,140.483124
382,2017-05-30,43.034003999999996,22.74,143.48413100000002
383,2017-05-31,43.005581,22.99,142.969147
384,2017-06-01,43.384567,23.23,142.979034
385,2017-06-02,43.261395,23.200001,142.26591499999998
386,2017-06-05,43.507740000000005,23.389999,146.59411599999999
387,2017-06-06,43.214024,24.209999,145.93051100000002
388,2017-06-07,43.01506,24.290001,147.693512
389,2017-06-08,43.034003999999996,24.780001000000002,158.410019
390,2017-06-09,42.664494,23.030001000000002,148.1689
391,2017-06-12,42.493946,23.6,148.53537
392,2017-06-13,42.617119,23.48,149.951675
393,2017-06-14,42.456051,23.469998999999998,150.268646
394,2017-06-15,42.332878,23.99,150.91241499999998
395,2017-06-16,42.721336,23.559998999999998,150.169601
396,2017-06-19,43.327717,24.200001,155.81506299999998
397,2017-06-20,43.431946,23.85,155.58725
398,2017-06-21,43.896198,24.16,157.944504
399,2017-06-22,47.65765,24.280001000000002,156.85501100000002
400,2017-06-23,48.273502,24.17,152.358459
401,2017-06-26,48.188235999999996,23.93,150.694504
402,2017-06-27,48.084011,23.32,145.17781100000002
403,2017-06-28,48.197701,24.299999,150.29835500000002
404,2017-06-29,47.562903999999996,23.4,145.276825
405,2017-06-30,47.506065,23.459999,143.177124
406,2017-07-03,46.767033000000005,22.83,137.997131
407,2017-07-05,46.861771000000005,23.76,141.68156399999998
408,2017-07-06,46.283821,23.219998999999998,142.10746799999998
409,2017-07-07,46.757557,23.59,145.356079
410,2017-07-10,47.013378,23.940001000000002,152.229691
411,2017-07-11,47.25972,25.440001000000002,154.388855
412,2017-07-12,47.79977,26.209999,160.955399
413,2017-07-13,47.705032,25.98,159.09338400000001
414,2017-07-14,47.903996,26.33,163.37205500000002
415,2017-07-17,47.970562,26.190001000000002,162.67875700000002
416,2017-07-18,47.98008,26.59,164.372452
417,2017-07-19,48.503155,26.360001,163.520645
418,2017-07-20,48.626789,26.389999,165.897659
419,2017-07-21,48.312943,26.85,166.491943
420,2017-07-24,48.274902000000004,26.75,164.560562
421,2017-07-25,48.664825,26.889999,163.76825
422,2017-07-26,48.664825,27.309998999999998,165.65995800000002
423,2017-07-27,47.98008,25.92,160.19281
424,2017-07-28,47.837414,26.200001,162.817398
425,2017-07-31,47.485531,26.35,160.955399
426,2017-08-01,47.704273,26.809998999999998,162.916473
427,2017-08-02,47.333374,26.459999,162.817398
428,2017-08-03,47.770846999999996,25.219998999999998,164.887451
429,2017-08-04,47.514065,25.209999,165.610443
430,2017-08-07,47.209728000000005,25.68,170.701294
431,2017-08-08,46.696163,26.02,168.670883
432,2017-08-09,46.658131,25.59,170.46357700000002
433,2017-08-10,45.745121000000005,24.65,163.164078
434,2017-08-11,45.878273,24.82,154.468063
435,2017-08-14,46.458405,25.200001,166.789063
436,2017-08-15,46.439388,24.83,165.382645
437,2017-08-16,46.838825,24.99,163.570175
438,2017-08-17,46.173103000000005,24.540001,159.925354
439,2017-08-18,46.239666,24.83,159.955063
440,2017-08-21,46.505959000000004,24.459999,157.627579
441,2017-08-22,46.848331,25.34,161.13678000000002
442,2017-08-23,46.667637,25.48,164.35853600000002
443,2017-08-24,46.781757,25.66,163.75383
444,2017-08-25,46.829322999999995,24.99,162.385803
445,2017-08-28,46.829322999999995,24.91,163.535736
446,2017-08-29,47.02903,25.040001,163.268082
447,2017-08-30,47.361893,25.76,164.23956299999998
448,2017-08-31,47.865955,26.110001,167.96688799999998
449,2017-09-01,48.141758,25.93,168.978012
450,2017-09-05,48.436577,25.77,164.46759
451,2017-09-06,48.512661,26.049999,164.368454
452,2017-09-07,49.197407,26.299999,165.13176
453,2017-09-08,49.054756,26.530001000000002,162.266861
454,2017-09-11,49.920208,27.57,167.530701
455,2017-09-12,50.186493,27.27,168.135391
456,2017-09-13,50.215022999999995,27.49,168.888779
457,2017-09-14,50.205517,28.639999,167.927246
458,2017-09-15,46.353802,28.5,178.544083
459,2017-09-18,45.963863,28.690001000000002,185.919418
460,2017-09-19,45.688061,28.559998999999998,185.721146
461,2017-09-20,45.62149,28.469998999999998,184.224289
462,2017-09-21,45.62149,28.4,179.188446
463,2017-09-22,45.802189,28.75,177.443741
464,2017-09-25,45.62149,27.450001,169.513306
465,2017-09-26,45.573935999999996,27.610001,170.464981
466,2017-09-27,45.802189,28.07,174.202194
467,2017-09-28,45.726112,28.49,174.152603
468,2017-09-29,45.982890999999995,28.809998999999998,177.21575900000002
469,2017-10-02,46.410851,29.389999,177.443741
470,2017-10-03,46.30624,29.940001000000002,177.81054699999999
471,2017-10-04,46.505959000000004,30.15,179.297501
472,2017-10-05,46.515469,30.76,179.198364
473,2017-10-06,46.030445,30.76,179.72377
474,2017-10-09,45.992397,31.07,183.778198
475,2017-10-10,46.030590000000004,31.32,187.28743
476,2017-10-11,46.097427,32.0,189.279938
477,2017-10-12,46.049694,32.810001,189.36911
478,2017-10-13,46.412502,32.810001,192.898193
479,2017-10-16,46.651203,33.220001,196.209198
480,2017-10-17,46.966286,32.689999,196.030746
481,2017-10-18,47.338654,32.52,195.862198
482,2017-10-19,47.119053,32.119999,196.080322
483,2017-10-20,47.023571000000004,32.5,195.188126
484,2017-10-23,47.080864,32.529999,194.910583
