Date,VZ,MCD,Close,CLX,COST,PSX,BLK,TROW,JNJ,UNH,MMM,UPS,ACN,PPG,AMT,NEE
10/19/2017 16:00:00,49.21,146.61,55.4,130.12,158.46,90.39,476.79,95.63,142.04,203.25,219.24,119.42,138.62,114.31,138.39,153.87
10/20/2017 16:00:00,49.53,147.36,54.57,127.77,160.77,90.8,476.62,96.86,142.4,207.49,221.32,119.76,139.49,117.76,139.07,154.16
10/23/2017 16:00:00,48.99,147.99,54.27,128.57,162.04,91.24,474.39,96.13,143.62,207.01,221.55,119.68,139.33,116.89,138.75,154.38
10/24/2017 16:00:00,48.94,147.71,54.28,127.21,162.29,91.83,473.72,96.48,141.64,208.15,234.65,119.7,138.91,117.44,138.03,154.22
10/25/2017 16:00:00,48.64,146.87,54.16,127.09,162.18,91.71,469.15,95.15,142.36,207.56,237.68,118.55,141.16,117.72,137.33,153.86
10/26/2017 16:00:00,48.89,147.2,54.91,127.86,162.46,91.18,473.48,95.07,141.81,209.15,232.94,119.33,141.97,118.67,138.45,153.39
10/27/2017 16:00:00,48.87,147.04,54.88,127.03,162.38,91.99,475.13,93.98,141.78,212.6,234.74,120.75,143.28,117.93,139.03,155.84
10/30/2017 16:00:00,47.83,146.95,55.17,125.32,160.23,91.02,472.29,92.42,140,209.39,231.02,118.09,143.29,116.16,142.87,155.36
10/31/2017 16:00:00,47.87,146.83,54.84,126.53,161.08,91.08,470.83,92.9,139.41,210.22,230.19,117.53,142.36,116.24,143.67,155.07
11/1/2017 16:00:00,47.83,146.62,55.13,128.02,162.69,92.3,469.29,92.57,139.98,209.53,230.18,117.46,142.96,115.92,140.81,153.38
11/2/2017 16:00:00,47.46,146.34,54.87,129.28,164.95,93.46,474.92,94.63,139.93,211.1,232.23,116.87,143.43,116.16,142.44,149.86
11/3/2017 16:00:00,47.42,146.64,56.03,128.11,166.44,93.58,479.11,94.57,140.08,212.87,232.22,115.46,144.04,116.53,142.1,152.65
11/6/2017 16:00:00,45.53,147.24,56.57,127.73,165.05,94.43,475.61,94.95,139.76,212.12,230.31,113.92,143.93,116.34,150.16,151.86
11/7/2017 16:00:00,45.57,147.13,57.22,129.7,166.28,94.57,473.37,93.76,139.77,212.7,230.05,113.95,143.5,116.34,150.66,155.49
